Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,52.787998,53.394001,52.787998,53.394001,53.394001,210
2020-02-05,53.394001,53.394001,53.394001,53.394001,53.394001,0
2020-02-06,54.366001,54.428001,54.335999,54.335999,54.335999,246
2020-02-07,54.400002,54.414001,54.340000,54.414001,54.414001,10
2020-02-10,54.653999,54.653999,54.175999,54.622002,54.622002,9234
2020-02-11,54.978001,55.139999,54.967999,55.001999,55.001999,10
2020-02-12,55.001999,55.001999,55.001999,55.001999,55.001999,0
2020-02-13,55.226002,55.627998,55.119999,55.627998,55.627998,448
2020-02-14,55.728001,55.771999,55.633999,55.646000,55.646000,142
2020-02-17,55.868000,55.891998,55.835999,55.852001,55.852001,580
2020-02-18,55.852001,55.852001,55.852001,55.852001,55.852001,0
2020-02-19,55.880001,56.228001,55.880001,56.113998,56.113998,288
2020-02-20,56.175999,56.175999,55.470001,55.470001,55.470001,271
2020-02-21,55.562000,55.562000,54.944000,55.056000,55.056000,507
2020-02-24,54.313999,54.313999,53.316002,53.316002,53.316002,300
2020-02-25,53.688000,53.688000,52.344002,52.344002,52.344002,391
2020-02-26,51.681999,52.051998,50.945999,51.964001,51.964001,985
2020-02-27,50.563999,50.598000,49.409000,49.652000,49.652000,930
2020-02-28,50.000000,50.000000,47.183998,47.337002,47.337002,671
2020-03-02,47.904999,48.338001,47.001999,48.338001,48.338001,2696
2020-03-03,49.362999,49.915001,48.776001,48.776001,48.776001,4217
2020-03-04,48.750999,49.400002,48.750999,49.108002,49.108002,791
2020-03-05,49.585999,49.585999,48.798000,49.007000,49.007000,765
2020-03-06,47.676998,47.676998,46.180000,46.627998,46.627998,5149
2020-03-09,46.627998,46.627998,43.202000,43.606998,43.606998,3634
2020-03-10,44.342999,45.410000,43.526001,43.526001,43.526001,3854
2020-03-11,44.484001,44.484001,43.945999,43.985001,43.985001,1300
2020-03-12,43.500000,43.500000,40.507000,40.507000,40.507000,1467
2020-03-13,41.444000,42.240002,40.599998,40.639999,40.639999,6999
2020-03-16,40.639999,41.700001,40.500000,41.700001,41.700001,6316
2020-03-17,42.500000,42.500000,39.535999,40.708000,40.708000,1237
2020-03-18,38.970001,39.991001,38.478001,39.172001,39.172001,777
2020-03-19,40.352001,40.528000,39.292000,40.034000,40.034000,454
2020-03-20,41.938999,42.130001,39.855000,39.875000,39.875000,2905
2020-03-23,38.026001,39.355000,36.973000,37.219002,37.219002,1809
2020-03-24,38.889999,40.713001,38.723000,40.713001,40.713001,2616
2020-03-25,41.877998,41.877998,40.200001,41.541000,41.541000,3457
2020-03-26,40.891998,42.299999,39.605999,42.150002,42.150002,1311
2020-03-27,42.368999,42.368999,41.276001,41.390999,41.390999,269
2020-03-30,41.390999,42.450001,40.598000,42.316002,42.316002,5569
2020-03-31,43.862000,43.862000,42.252998,43.009998,43.009998,7528
2020-04-01,41.645000,41.645000,40.798000,41.057999,41.057999,2691
2020-04-02,40.500000,41.966999,40.339001,41.425999,41.425999,2728
2020-04-03,41.660000,42.039001,41.407001,41.407001,41.407001,1903
2020-04-06,41.936001,43.251999,41.936001,43.251999,43.251999,3329
2020-04-07,44.557999,45.161999,44.557999,44.861000,44.861000,6224
2020-04-08,44.734001,44.782001,43.764000,44.782001,44.782001,3501
2020-04-09,45.500999,46.514000,45.085999,45.763000,45.763000,2165
2020-04-14,46.500000,47.500000,45.785000,46.105000,46.105000,5816
2020-04-15,46.717999,46.717999,45.455002,45.591999,45.591999,2421
2020-04-16,47.180000,47.180000,45.938999,46.183998,46.183998,1919
2020-04-17,47.154999,47.712002,46.759998,46.762001,46.762001,994
2020-04-20,47.249001,47.249001,46.578999,47.241001,47.241001,1367
2020-04-21,46.938999,46.938999,45.082001,45.082001,45.082001,1762
2020-04-22,46.646000,46.646000,45.751999,46.176998,46.176998,6190
2020-04-23,46.584999,46.877998,46.513000,46.877998,46.877998,345
2020-04-24,47.296001,47.296001,46.396000,46.449001,46.449001,329
2020-04-27,48.158001,48.158001,47.224998,47.566002,47.566002,422
2020-04-28,47.584999,48.182999,47.584999,47.665001,47.665001,4070
2020-04-29,47.874001,48.452999,47.874001,48.438999,48.438999,2561
2020-04-30,48.929001,48.929001,47.705002,47.705002,47.705002,2098
2020-05-04,46.153999,46.372002,45.839001,46.301998,46.301998,1411
2020-05-05,47.088001,47.818001,47.088001,47.818001,47.818001,930
2020-05-06,47.807999,48.042000,47.604000,47.604000,47.604000,654
2020-05-07,47.842999,48.063000,47.842999,48.063000,48.063000,118
2020-05-08,48.103001,48.287998,48.103001,48.213001,48.213001,1453
2020-05-11,48.627998,48.759998,48.153999,48.471001,48.471001,19909
2020-05-12,48.337002,48.619999,48.306999,48.306999,48.306999,654
2020-05-13,47.410000,47.417000,46.945999,46.945999,46.945999,1046
2020-05-14,46.700001,46.791000,46.009998,46.634998,46.634998,712
2020-05-15,47.539001,47.539001,46.784000,46.951000,46.951000,1100
2020-05-18,47.912998,48.730999,47.912998,48.730999,48.730999,402
2020-05-19,48.709000,48.743999,48.224998,48.564999,48.564999,408
2020-05-20,48.165001,48.631001,48.165001,48.631001,48.631001,658
2020-05-21,48.504002,48.504002,48.279999,48.284000,48.284000,10
2020-05-22,48.216999,48.514000,47.963001,48.404999,48.404999,395
2020-05-25,48.976002,49.353001,48.976002,49.312000,49.312000,2245
2020-05-26,49.797001,49.797001,49.152000,49.152000,49.152000,1676
2020-05-27,49.643002,49.693001,48.824001,48.898998,48.898998,2405
2020-05-28,49.601002,49.756001,49.487000,49.551998,49.551998,1871
2020-05-29,48.948002,48.948002,48.646999,48.646999,48.646999,1518
2020-06-02,49.591000,49.591000,49.037998,49.160999,49.160999,1954
2020-06-03,49.554001,49.868999,49.554001,49.846001,49.846001,597
2020-06-04,49.465000,49.938000,49.398998,49.398998,49.398998,1966
2020-06-05,49.550999,50.952000,49.550999,50.952000,50.952000,2483
2020-06-08,51.127998,51.127998,50.700001,51.043999,51.043999,2225
2020-06-09,50.967999,51.015999,50.742001,50.742001,50.742001,1922
2020-06-10,50.952000,50.964001,50.400002,50.467999,50.467999,5265
2020-06-11,49.624001,49.624001,48.618999,48.618999,48.618999,850
2020-06-12,48.187000,48.803001,48.187000,48.533001,48.533001,1738
2020-06-15,47.227001,48.122002,47.175999,48.047001,48.047001,1889
2020-06-16,49.457001,50.206001,49.256001,49.791000,49.791000,1841
2020-06-17,49.896999,50.310001,49.896999,50.051998,50.051998,1574
2020-06-18,49.688000,49.923000,49.599998,49.838001,49.838001,968
2020-06-19,50.021999,50.436001,50.021999,50.284000,50.284000,430
2020-06-22,49.522999,49.679001,49.484001,49.508999,49.508999,885
2020-06-23,49.835999,50.051998,49.835999,49.979000,49.979000,294
2020-06-24,49.967999,49.967999,48.687000,48.687000,48.687000,5646
2020-06-25,48.734001,48.956001,48.396000,48.736000,48.736000,3167
2020-06-26,49.317001,49.432999,48.558998,48.558998,48.558998,1089
2020-06-29,48.255001,48.597000,48.191002,48.597000,48.597000,3060
2020-06-30,49.022999,49.186001,48.875999,49.127998,49.127998,223
2020-07-01,50.153999,50.153999,49.448002,49.570999,49.570999,3146
2020-07-02,49.868000,50.453999,49.861000,50.248001,50.248001,285
2020-07-03,50.316002,50.316002,49.915001,49.973000,49.973000,37
2020-07-06,50.523998,50.618000,50.444000,50.563999,50.563999,1316
2020-07-07,50.428001,50.667999,50.248001,50.554001,50.554001,670
2020-07-08,50.386002,50.386002,49.933998,49.933998,49.933998,7734
2020-07-09,50.161999,50.377998,49.785999,49.785999,49.785999,613
2020-07-10,49.876999,50.243999,49.876999,50.243999,50.243999,234
2020-07-13,51.074001,51.116001,50.799999,51.116001,51.116001,869
2020-07-14,50.540001,50.540001,49.500000,49.959000,49.959000,1317
2020-07-15,50.692001,50.922001,50.526001,50.730000,50.730000,499
2020-07-16,50.650002,50.653999,50.422001,50.433998,50.433998,329
2020-07-17,50.736000,50.736000,50.610001,50.639999,50.639999,299
2020-07-20,50.334000,50.866001,50.312000,50.866001,50.866001,3672
2020-07-21,51.310001,51.532001,51.203999,51.217999,51.217999,646
2020-07-22,51.104000,51.104000,50.542000,50.660000,50.660000,2256
2020-07-23,51.028000,51.153999,50.759998,50.759998,50.759998,588
2020-07-24,50.070000,50.158001,49.700001,49.778000,49.778000,5229
2020-07-27,49.782001,49.782001,49.268002,49.268002,49.268002,565
2020-07-28,49.731998,49.814999,49.522999,49.669998,49.669998,1215
2020-07-29,49.289001,49.608002,49.289001,49.582001,49.582001,695
2020-07-30,49.709000,49.709000,49.000000,49.362999,49.362999,1907
2020-07-31,49.173000,49.641998,49.173000,49.342999,49.342999,471
2020-08-03,50.076000,50.599998,49.928001,50.529999,50.529999,525
2020-08-04,50.431999,50.542000,50.099998,50.472000,50.472000,370
2020-08-05,50.742001,50.742001,50.340000,50.340000,50.340000,595
2020-08-06,50.374001,50.683998,50.340000,50.504002,50.504002,210
2020-08-07,50.778000,51.167999,50.778000,51.085999,51.085999,94
2020-08-10,51.259998,51.360001,51.152000,51.270000,51.270000,131
2020-08-11,51.650002,51.773998,51.493999,51.604000,51.604000,1939
2020-08-12,51.599998,51.599998,51.382000,51.556000,51.556000,488
